sample,treat,myCAF,iCAF,CD8+ T,CD4+ T,Treg,Macrophage,Plasma,Endothelial,Pericyte
U4-b,Untreated,13.855965464377096,-3.1670093552383887,-7.662566902771111,-4.654443124113226,-5.4174500192067665,-0.8839786582734025,-11.527415017367444,-2.101984936785919,-1.3601042043745146
T1-b,CRT,34.89123298245663,-6.480686975485082,-9.324775020701887,-1.8563702966490376,-3.396269538670932,2.923829717747512,-16.561678650773313,-8.934476938950198,-6.867370066147609
T2-b,CRT,12.777814358083214,-9.437581366576612,-2.2936621224290286,-1.7399597564982385,-0.7612084893962788,-5.651495267398348,-4.006971229627349,-0.8467018314611552,1.015770420598822
T4-b,CRT,10.039955241267798,-7.113799190221282,-5.724958085242126,-1.6398217635121275,-3.110191727374407,4.99448346546946,-4.402128465287889,-1.5562733409668554,3.955110414188609
T3-b,CRT,22.85937494944391,-10.138873172707806,-0.18755630781288885,-1.5939154590625262,-0.5283829295045325,-3.44621810207534,-6.042635250604559,-3.5631415304679175,6.01408623335734
U3-b,Untreated,2.292677954889327,0.07492476296991953,-5.278810693712144,-0.2083185246383301,-4.4828808252479035,5.516156282798378,-4.204660973234766,-8.394743962150633,-1.6115731230104706
U1-b,Untreated,16.135181428645204,5.428746589310371,-5.090770076831701,-2.487249610357217,-3.9889003855900267,6.774154014040774,-9.695221467227595,-3.292085709369602,0.7844620561693438
U2-b,Untreated,-0.025230595358145046,-0.8471644502837782,-0.5344513733557202,-1.1044412735901572,-0.9791031677774807,6.100811089214158,-0.32387131282243103,-3.7758847133601807,-6.440753981349446
U5-a,Untreated,12.531878799348204,-16.560513856782787,-11.292809629264342,-2.2167073776101187,-2.605287633800669,3.9897029849680807,-31.06432690495025,1.9729522694881163,-0.7184706180561716
U4-a,Untreated,17.499567279478626,-0.4739861129698184,-7.402937148782744,-4.478249306022778,-4.433401743582914,1.7025334040937827,-13.294788021368019,-10.15304752706374,-2.310330122224186
U6-a_1,Untreated,-13.348786636669404,-3.3859849299657583,-3.7432504657276895,-0.49729905984998246,-1.875723907840649,8.101612008474609,6.553396638215592,8.57647106387931,3.547390294038311
U6-a_2,Untreated,-6.711438436936828,-9.880456567782055,-0.35545646257518426,-1.4086899623609548,-1.8798525667998154,10.377321468029301,-3.3843766264742707,-1.326536080950848,-2.600005783484975
T5-a,CRT,7.810858889563183,-6.051192566508151,-4.427216321837247,-1.2365641548625441,-1.974847305562735,7.7814966284535885,-3.9364791081110857,2.1937679655355664,5.363177732046303
T4-a,CRT,5.672753138114025,-15.978371119489317,-1.9482347836749083,0.2992385730892138,-0.10854766891911281,7.528669228348347,10.332095632588171,3.2298236509430907,10.037871588946999
U7-a,Untreated,39.37893980306848,-2.6309740311631273,-8.653622875559533,-6.411021842611303,-6.986419607015778,19.264174897630845,-35.15918895655057,3.174095712517637,-3.5352396883405146
