param,base_val,cs_lo,cs_hi,span
init_resistant_frac,0.03,6.761227359192787,6.679880405660611,0.08134695353217669
mutation_rate,0.003,6.349141517283111,6.505967362182349,0.15682584489923812
resistance_cost,0.24,6.91253645901777,7.089189128024079,0.17665266900630883
resistant_immune_evasion,0.35,6.570620206983843,5.5867555867555865,0.9838646202282568
k_caf_activate,0.1,7.096220580151647,5.491717837362466,1.6045027427891814
cd8_recruit,10.0,4.961351848753555,6.9398891575357,1.978537308782145
k_kill,0.5,1.7494911908672617,8.376601260851736,6.627110069984474
k_prolif,0.15,8.768971735522168,0.6859504132231405,8.083021322299027
cd8_barrier_alpha,0.9,11.797957907573762,2.858494493255025,8.939463414318737
