draw,regimen,exposure,censored,final,rank
12,Curcumin,10.863,0.0,2.2684989429175477,3
12,SAC+Eupatilin,18.131,0.0,1.0105708245243128,7
12,Eupatilin+Rg3,15.66,0.0,0.3403805496828753,6
12,SAC+Rg3+Curcumin,23.732,0.0,0.4587737843551797,8
12,Gemcitabine,18.276,1.0,0.0,1
13,SAC,10.864,0.0,1.4596273291925466,2
13,Eupatilin,11.382,0.0,2.0683229813664594,3
13,20(S)-Rg3,17.036,0.0,0.6252587991718427,7
13,Curcumin,13.44,0.0,2.0248447204968945,4
13,SAC+Eupatilin,14.645,0.0,0.2236024844720497,5
13,Eupatilin+Rg3,16.195,0.0,0.0,6
13,SAC+Rg3+Curcumin,23.934,0.0,0.0,8
13,Gemcitabine,28.716,1.0,0.0,1
14,SAC,19.446,0.0,0.8547368421052631,5
14,Eupatilin,14.278,0.0,1.6694736842105262,2
14,20(S)-Rg3,14.322,0.0,0.8147368421052632,3
14,Curcumin,17.955,0.0,0.3726315789473684,4
14,SAC+Eupatilin,33.724,0.0,1.456842105263158,8
14,Eupatilin+Rg3,25.86,0.0,0.4863157894736842,6
14,SAC+Rg3+Curcumin,31.215,0.0,0.008421052631578947,7
14,Gemcitabine,20.479,1.0,0.0,1
15,SAC,6.78,0.0,3.81747572815534,3
15,Eupatilin,16.133,0.0,0.8524271844660194,6
15,20(S)-Rg3,6.566,0.0,0.06990291262135923,2
15,Curcumin,15.372,0.0,0.6213592233009708,5
15,SAC+Eupatilin,22.913,0.0,0.6854368932038835,8
15,Eupatilin+Rg3,11.718,0.0,0.0,4
15,SAC+Rg3+Curcumin,16.315,0.0,0.0,7
15,Gemcitabine,18.086,1.0,0.0,1
16,SAC,11.256,0.0,2.5183673469387755,5
16,Eupatilin,10.48,0.0,1.9,3
16,20(S)-Rg3,9.696,0.0,0.0,2
16,Curcumin,10.6,0.0,0.32857142857142857,4
16,SAC+Eupatilin,21.736,0.0,0.8918367346938776,6
16,Eupatilin+Rg3,24.839,0.0,0.4959183673469388,7
16,SAC+Rg3+Curcumin,28.449,0.0,0.04693877551020408,8
16,Gemcitabine,10.599,1.0,0.0,1
17,SAC,7.924,0.0,1.7528735632183907,2
17,Eupatilin,8.461,0.0,1.0057471264367817,4
17,20(S)-Rg3,8.018,0.0,0.0,3
17,Curcumin,9.653,0.0,0.5191570881226054,5
17,SAC+Eupatilin,16.385,0.0,1.3773946360153257,8
17,Eupatilin+Rg3,13.984,0.0,0.0,6
17,SAC+Rg3+Curcumin,15.13,0.0,0.0,7
17,Gemcitabine,12.616,1.0,0.0,1
18,SAC,14.048,0.0,0.581888246628131,6
18,Eupatilin,9.88,0.0,0.9441233140655106,3
18,20(S)-Rg3,5.126,0.0,0.04431599229287091,2
18,Curcumin,13.303,0.0,0.649325626204239,5
18,SAC+Eupatilin,15.95,0.0,0.057803468208092484,8
18,Eupatilin+Rg3,10.841,0.0,0.0,4
18,SAC+Rg3+Curcumin,15.044,0.0,0.0,7
18,Gemcitabine,5.516,1.0,0.0,1
19,SAC,7.102,0.0,0.5987780040733197,3
19,Eupatilin,11.241,0.0,1.0509164969450102,7
19,20(S)-Rg3,3.084,0.0,0.0,2
19,Curcumin,7.243,0.0,2.169042769857434,4
19,SAC+Eupatilin,19.12,0.0,0.6802443991853361,8
19,Eupatilin+Rg3,8.83,0.0,0.0,6
19,SAC+Rg3+Curcumin,8.344,0.0,0.0,5
19,Gemcitabine,6.028,1.0,0.0,1
20,SAC,16.338,0.0,2.112050739957717,5
20,Eupatilin,14.889,0.0,0.7843551797040169,4
20,20(S)-Rg3,11.63,0.0,0.29809725158562367,2
20,Curcumin,13.437,0.0,1.251585623678647,3
20,SAC+Eupatilin,31.227,0.0,1.4228329809725158,7
20,Eupatilin+Rg3,26.505,0.0,0.5644820295983086,6
20,SAC+Rg3+Curcumin,35.413,0.0,0.6913319238900634,8
20,Gemcitabine,28.348,1.0,0.0,1
21,SAC,8.357,0.0,0.44306418219461696,2
21,Eupatilin,10.656,0.0,1.699792960662526,5
21,20(S)-Rg3,4.825,0.0,0.0,1
21,Curcumin,18.094,0.0,0.6935817805383023,7
21,SAC+Eupatilin,9.811,0.0,0.0,4
21,Eupatilin+Rg3,8.382,0.0,0.0,3
21,SAC+Rg3+Curcumin,12.419,0.0,0.0,6
21,Gemcitabine,27.392,0.0,0.0,8
22,SAC,11.428,0.0,1.168421052631579,4
22,Eupatilin,15.586,0.0,0.64,7
22,20(S)-Rg3,5.54,0.0,1.088421052631579,2
22,Curcumin,7.653,0.0,2.7157894736842105,3
22,SAC+Eupatilin,27.482,0.0,2.094736842105263,8
22,Eupatilin+Rg3,11.607,0.0,0.04631578947368421,5
22,SAC+Rg3+Curcumin,14.362,0.0,0.13052631578947368,6
22,Gemcitabine,9.563,1.0,0.0,1
23,SAC,16.121,0.0,1.3728155339805825,4
23,Eupatilin,11.452,0.0,0.0,3
23,20(S)-Rg3,7.388,0.0,0.4388349514563107,2
23,Curcumin,22.327,0.0,1.4796116504854369,7
23,SAC+Eupatilin,16.135,0.0,0.0,5
23,Eupatilin+Rg3,17.312,0.0,0.003883495145631068,6
23,SAC+Rg3+Curcumin,34.212,0.0,0.0,8
23,Gemcitabine,10.443,1.0,0.0,1
24,SAC,6.277,0.0,0.6408163265306123,2
24,Eupatilin,21.631,0.0,1.9,8
24,20(S)-Rg3,8.097,0.0,0.0,4
24,Curcumin,7.33,0.0,0.0653061224489796,3
24,SAC+Eupatilin,20.494,0.0,0.3510204081632653,7
24,Eupatilin+Rg3,16.083,0.0,0.0,5
24,SAC+Rg3+Curcumin,16.291,0.0,0.0,6
24,Gemcitabine,26.316,1.0,0.0,1
25,SAC,5.259,0.0,3.3256704980842913,2
25,Eupatilin,15.06,0.0,1.1340996168582376,5
25,20(S)-Rg3,10.888,0.0,0.09770114942528736,4
25,Curcumin,6.272,0.0,2.532567049808429,3
25,SAC+Eupatilin,20.319,0.0,1.0977011494252873,6
25,Eupatilin+Rg3,23.775,0.0,0.4272030651340996,7
25,SAC+Rg3+Curcumin,24.769,0.0,0.6340996168582376,8
25,Gemcitabine,11.356,1.0,0.0,1
26,SAC,7.028,0.0,1.6088631984585742,3
26,Eupatilin,10.182,0.0,1.001926782273603,6
26,20(S)-Rg3,3.946,0.0,0.0,2
26,Curcumin,8.705,0.0,1.0269749518304432,5
26,SAC+Eupatilin,17.21,0.0,2.9672447013487475,8
26,Eupatilin+Rg3,7.563,0.0,0.0,4
26,SAC+Rg3+Curcumin,12.005,0.0,0.1791907514450867,7
