output,param,S1,S1_conf,ST,ST_conf
control_score,k_prolif,0.6019895441065993,0.38886518100688217,0.9328874586014996,0.4628251906436099
control_score,k_kill,0.08431318118887564,0.12988404673880105,0.08429579295463928,0.0658880003378678
control_score,cd8_recruit,-0.03907398848339024,0.054966239003079294,0.012122112465765708,0.008953244555180637
control_score,k_caf_activate,-0.033543352030864865,0.07180005824591257,0.02396549418522544,0.059474350927882724
control_score,resistance_cost,-0.0006575023700230884,0.02618591821104355,0.00622682513858406,0.005864870630526116
control_score,resistant_immune_evasion,-0.00497308404503466,0.016601538612657632,0.0010453202997202976,0.000706045798795827
control_score,cd8_barrier_alpha,0.11874135110457763,0.3414476906192533,0.43080187600813297,0.39753197917760014
control_score,caf_confine,0.031032371026155272,0.036342405205943784,0.006953797832290337,0.004896578798876319
final_frac,k_prolif,0.5103203210190438,0.2788107074053274,0.7329175214142002,0.41514168161155296
final_frac,k_kill,0.23273955740980948,0.3116113429592091,0.6089360974601882,0.5072558089567699
final_frac,cd8_recruit,-0.14750111408433145,0.1377518633325126,0.08757515922339164,0.10395496260792447
final_frac,k_caf_activate,0.009205068238827094,0.14882197613006545,0.04690230216567716,0.04720320184581623
final_frac,resistance_cost,-0.0923009199411114,0.16035564791263585,0.1126747848938702,0.18236715005393683
final_frac,resistant_immune_evasion,-0.08186838210160867,0.12470328036213565,0.07883228344258801,0.08704960656532708
final_frac,cd8_barrier_alpha,-0.05741813967644919,0.10746900413156263,0.07562946149166072,0.0858447320238844
final_frac,caf_confine,-0.0701037550797376,0.11927516931981012,0.10287701455178287,0.15906250198424934
