arch,peri_density,rim_frac,mycaf_frac,immune_final
Contained (full myCAF),0.3183279742765273,0.9611650485436893,0.2859744990892532,1.0128617363344052
Contained (full myCAF),0.3108882521489971,0.9601769911504425,0.2750938673341677,1.1110315186246418
Contained (full myCAF),0.31480031323414254,0.9458823529411765,0.2835397316821465,1.0610806577916994
Contained (full myCAF),0.3361934477379095,0.9663677130044843,0.2831744395774285,1.174726989079563
Contained (full myCAF),0.3105095541401274,0.972568578553616,0.28508430609597923,0.8996815286624203
Contained thin-35%,0.21221864951768488,0.9428571428571428,0.20670714079213645,1.0104501607717042
Contained thin-35%,0.2020057306590258,0.94,0.1980060924951537,0.6404011461318052
Contained thin-35%,0.20203602192638997,0.9181494661921709,0.2047537227949599,0.7807361002349256
Contained thin-35%,0.22698907956318254,0.9509803921568627,0.20446096654275092,0.7379095163806553
Contained thin-35%,0.19347133757961785,0.9566929133858267,0.20599250936329588,0.6122611464968153
Contained thin-60%,0.12781350482315113,0.9085714285714286,0.13819095477386933,0.16639871382636656
Contained thin-60%,0.12177650429799428,0.9042553191489362,0.13189448441247004,0.23065902578796563
Contained thin-60%,0.12920908379013313,0.8776595744680851,0.13677339135840846,0.0
Contained thin-60%,0.14898595943837753,0.9271844660194175,0.13656114214773432,0.2948517940717629
Contained thin-60%,0.12818471337579618,0.936046511627907,0.1376720901126408,0.32643312101910826
Contained thin-80%,0.06672025723472669,0.8383838383838383,0.07422402159244265,0.0
Contained thin-80%,0.06876790830945559,0.8421052631578947,0.07060333761232349,0.0
Contained thin-80%,0.06342991386061081,0.7788461538461539,0.07340674007340674,0.0
Contained thin-80%,0.06318252730109204,0.84375,0.07328447701532312,0.0
Contained thin-80%,0.06449044585987261,0.8804347826086957,0.0739247311827957,0.12340764331210191
Diffuse (full myCAF),0.04823151125401929,0.5172413793103449,0.2861602497398543,0.0
Diffuse (full myCAF),0.04154727793696275,0.4603174603174603,0.2752752752752753,0.3037249283667622
Diffuse (full myCAF),0.05794831636648395,0.4868421052631579,0.2837245292752128,0.0
Diffuse (full myCAF),0.0358814352574103,0.4,0.2833590932509016,0.0
Diffuse (full myCAF),0.037420382165605094,0.41228070175438597,0.28526970954356845,0.4601910828025478
