resistance_cost,adapt_cs,cont_cs,adapt_tox,cont_tox,adapt_res,cont_res,adapt_cens,cont_cens
0.0,6.674530362603757,1.2396694214876034,21.599999999999998,120.0,0.035333333333333335,0.0,1.0,1.0
0.05,6.7239081000548895,1.2396694214876034,21.333333333333332,120.0,0.039999999999999994,0.0,1.0,1.0
0.1,6.639573846550391,1.2396694214876034,21.733333333333334,120.0,0.021333333333333333,0.0,1.0,1.0
0.15,6.901412820482989,1.2396694214876034,20.8,120.0,0.3393333333333333,0.0,1.0,1.0
0.2,6.846810239739944,1.2396694214876034,20.933333333333334,120.0,0.004333333333333333,0.0,1.0,1.0
0.24,6.349141517283111,1.2396694214876034,22.666666666666668,120.0,0.0023333333333333335,0.0,1.0,1.0
0.3,6.381661842486362,1.2396694214876034,22.53333333333333,120.0,0.020666666666666667,0.0,1.0,1.0
0.4,6.914256914256915,1.2396694214876034,20.8,120.0,0.011999999999999999,0.0,1.0,1.0
0.5,6.992952042456992,1.2396694214876034,20.53333333333333,120.0,0.0023333333333333335,0.0,1.0,1.0
