variant,optimal_mycaf,strategy,m0.0,m0.06,m0.12,m0.2,m0.3
Full spatial ABM,0.06,keep (interior),2.820617544552274,2.635388412029112,3.2134927832446083,3.2776379571685843,3.4260188612518307
No-confinement,0.06,keep (interior),4.221980337298787,4.0570245908947316,4.293106019927374,4.689751939056886,4.915240073021403
No-immune-exclusion,0.2,keep (interior),1.553218105570428,1.872793529827544,1.7300935381365945,1.2181468230378272,1.4704808748291955
"Randomized geometry (diffuse, same counts)",0.06,keep (interior),2.1704124386079533,1.9500660188936052,2.3642892578760852,2.2096620195837255,2.713822197084206
